text,label
The parcel be stick in custom.,Shipping Delay
The tracking hasn't updated in a week.,Shipping Delay
The buttons on the outback aren ' thyroxine responding.,Product Defect
The screen cracked still though Ace handle it carefully.,Product Defect
No one has replied to my emails for three days.,Customer Service Issue
The laptop international relations and security network ' liothyronine turning on at all.,Product Defect
I keep acquire transferred and no i helps.,Customer Service Issue
The shipping embody taking much long than expect.,Shipping Delay
The emptiness cleaner hold shut off.,Product Defect
My card was charged even though the order failed.,Billing Issue
My order is delayed due to unknown reasons.,Shipping Delay
I paid yesterday but it's still showing unpaid.,Billing Issue
Wherefore is there a $ 10 secret fee on my invoice?,Billing Issue
The reminder take dead pixels.,Product Defect
The discount computer code I used wasn ' tonne enforce to the final amount.,Billing Issue
The blender stopped working after one use.,Product Defect
I cancel already merely I ' yard still being bill.,Billing Issue
Can you check the condition of order # 12345? It is really late.,Shipping Delay
The billing date changed without inform pine tree state.,Billing Issue
The audio quality is terrible there is a constant buzzing sound.,Product Defect
Still hold off on the bundle I ordered two weeks ago.,Shipping Delay
The schmooze agent ignored my interrogative sentence.,Customer Service Issue
The claver support bot continue looping and gain ground ' t connect me to a human.,Customer Service Issue
The refund you processed is incorrect.,Billing Issue
I scrub already but I ' megabyte still being bill.,Billing Issue
The screen cracked even though I handled it carefully.,Product Defect
The keyboard keys are sticking.,Product Defect
Unity got attitude from the representative.,Customer Service Issue
My package is still not here after 2 weeks.,Shipping Delay
Your staff gave maine completely incorrect data.,Customer Service Issue
I've been on hold for over 45 minutes!,Customer Service Issue
The support agent didn't seem to know how the product works.,Customer Service Issue
I haven't received any updates from the courier.,Shipping Delay
The agent wasn't knowledgeable about the product.,Customer Service Issue
The laptop won ' t tour on anymore.,Product Defect
The speaker audio is distorted.,Product Defect
I got attitude from the representative.,Customer Service Issue
Can you check the status of order #12345? It is very late.,Shipping Delay
My lodge was supposed to be here last workweek where is it?,Shipping Delay
The chat support bot keeps looping and won't connect me to a human.,Customer Service Issue
I was charged twice for my subscription.,Billing Issue
Peerless of the legs on the table be shorter than the others.,Product Defect
My parliamentary law is marked delivered but nix arrived.,Shipping Delay
The battery charger overheats and doesn ' t work.,Product Defect
I be very defeated with the lack of communication.,Customer Service Issue
The laptop isn't turning on at all.,Product Defect
I waited 45 minutes for someone to pick up.,Customer Service Issue
The zipper on this jacket broke the first time I used it.,Product Defect
I ' ve been on hold for ended xlv minutes!,Customer Service Issue
I need a copy of the receipt for tax purposes.,Billing Issue
The representative hung upward on pine tree state.,Customer Service Issue
My repayment personify deducted incorrectly.,Billing Issue
The shipment keeps getting rescheduled.,Shipping Delay
I cannot update my payment method acting on the portal.,Billing Issue
The screen do not turn on even after charging.,Product Defect
The product smells burned when I plug information technology in.,Product Defect
The support team keeps giving me conflicting answers.,Customer Service Issue
No unity has answer to my emails for three days.,Customer Service Issue
One of the legs on the table is shorter than the others.,Product Defect
My headphones produce static noise.,Product Defect
I paid yesterday only it ' s still picture recreational.,Billing Issue
I paid for express shipping but it's been a week.,Shipping Delay
My package still hasn't arrived after 10 days.,Shipping Delay
The intersection be still pending payload.,Shipping Delay
The blender stop working after one utilization.,Product Defect
I waited 30 minutes on the phone and nobody answered.,Customer Service Issue
The sewing machine jams constantly.,Product Defect
The representative I spoke to was incredibly rude and unhelpful.,Customer Service Issue
The package move to the wrong distribution kernel.,Shipping Delay
The item I received has scratches.,Product Defect
The fan ca ca loud click phone.,Product Defect
The courier lost my package.,Shipping Delay
The product is still pending shipment.,Shipping Delay
The sustenance team keep giving maine conflicting answers.,Customer Service Issue
The point arrived with a massive cranny down in the mouth the center.,Product Defect
The zipper on this crown broke the foremost time One used information technology.,Product Defect
My bundle is still not here after deuce workweek.,Shipping Delay
My order be stuck in theodolite.,Shipping Delay
Why is my package stuck at the distribution center?,Shipping Delay
The tracking hasn ' t update in a workweek.,Shipping Delay
The agent wasn ' mt knowing about the product.,Customer Service Issue
Why answer the price increase in my recurring posting?,Billing Issue
This mathematical product looks nothing same the pictures online. Cheap fabric.,Product Defect
It stopped working after just deuce day of use.,Product Defect
The track number hasn ’ t updated since Monday.,Shipping Delay
I was charged twice for the same transaction.,Billing Issue
The button on the outback aren ' t responding.,Product Defect
My order is delayed due to nameless reasons.,Shipping Delay
The tracking issue hasn ' mt update in 5 days.,Shipping Delay
You billed maine after One unsubscribed.,Billing Issue
The messenger lost my software.,Shipping Delay
I cannot update my payment method on the portal.,Billing Issue
Missing several screws and parts from the box.,Product Defect
The laptop won ' thyroxin turn on anymore.,Product Defect
Your courier service is incredibly slow.,Shipping Delay
1 need a copy of the receipt for revenue enhancement design.,Billing Issue
Still waiting on the package I ordered two weeks ago.,Shipping Delay
Please cancel my subscription I don't want to be charged again.,Billing Issue
The utterer audio personify distorted.,Product Defect
The projection screen cracked even though I plow it carefully.,Product Defect
The repayment you process embody incorrect.,Billing Issue
Iodin had to explicate my problem multiple times to unlike agentive role.,Customer Service Issue
Worst customer support experience Iodin give ever had.,Customer Service Issue
Miss various screws and parts from the corner.,Product Defect
